Year,Worldrefinedprimaryproduction,U.S.refinedprimaryproduction,Concentrationratio,1stRefinedprimaryproduction,1stCountry,2ndRefinedprimaryproduction,2ndCountry,3rdRefinedprimaryproduction,Country
1990,92.27,20.40,0.75,60.00,China,6.52,France,2.83,Thailand
1991,89.04,19.30,0.74,61.40,China,3.55,Bolivia,1.28,Mexico
1992,102.29,12.70,0.83,68.10,China,11.00,Kyrgystan,5.67,Bolivia
1993,110.87,9.62,0.87,81.30,China,11.00,Kyrgystan,4.47,Bolivia
1994,133.39,12.20,0.87,101.20,China,9.59,Kyrgystan,5.88,Bolivia
1995,153.48,10.50,0.91,130.00,China,4.78,Kyrgystan,4.84,Bolivia
1996,149.55,7.78,0.93,128.00,China,6.00,Kyrgystan,4.91,Bolivia
1997,139.89,7.55,0.92,120.10,China,4.40,Kyrgystan,4.14,Bolivia
1998,97.52,7.71,0.88,82.00,China,3.84,Bolivia,0.36,Peru
1999,97.53,8.22,0.89,84.50,China,2.24,Bolivia,0.26,Peru
2000,117.67,7.70,0.92,106.00,China,1.51,Kyrgystan,1.29,Bolivia
2001,157.39,5.38,0.96,148.00,China,1.99,Bolivia,1.05,Kyrgystan
2002,132.24,5.35,0.95,124.00,China,1.50,Kyrgystan,0.50,France
2003,100.54,5.60,0.93,90.00,China,1.90,Argentina,1.31,Kyrgystan
2004,134.09,3.65,0.96,125.00,China,1.97,Argentina,1.50,Kyrgystan
2005,149.56,3.03,0.96,138.00,China,2.94,Bolivia,2.20,Argentina
2006,151.40,3.52,0.96,140.00,China,2.78,Bolivia,2.21,Argentina
2007,158.26,3.48,0.96,147.00,China,2.86,Bolivia,2.73,Argentina
2008,169.06,3.18,0.97,158.00,China,2.98,Bolivia,2.50,Argentina
2009,178.09,3.02,0.97,168.00,China,2.34,Bolivia,2.30,Argentina
2010,194.51,3.52,0.98,187.00,China,2.20,Argentina,0.50,France
