Year,Worldrefinedproduction1,Concentrationratio,1stRefinedproduction,1stCountry,2ndRefinedproduction,2ndCountry,3rdRefinedproduction,3rdCountry
1990,27.30,0.77,9.95,Zaire,6.30,USSR,4.67,Zambia
1991,25.20,0.73,8.11,Zaire,5.50,USSR,4.74,Zambia
1992,21.50,0.65,5.05,Zaire,4.80,Zambia,4.10,Russia
1993,16.60,0.61,3.71,Zambia,3.70,Russia,2.70,Canada
1994,20.00,0.52,4.34,Russia,3.00,Finland,2.97,Canada
1995,23.30,0.48,3.58,Zambia,3.26,Canada,4.45,Russia
1996,25.60,0.51,4.61,Zambia,4.20,Russia,4.16,Finland
1997,27.10,0.50,5.00,Finland,4.40,Zambia,4.10,Russia
1998,31.40,0.46,5.25,Finland,4.84,Zambia,4.42,Canada
1999,33.10,0.47,6.20,Finland,5.18,Congo-K,4.30,Russia
2000,36.00,0.46,7.70,Finland,4.40,Russia,4.36,Canada
2001,38.70,0.46,8.10,Finland,5.00,Russia,4.66,Zambia
2002,40.80,0.35,1.47,China,8.24,Finland,4.63,Canada
2003,43.20,0.45,7.99,Finland,6.62,Zambia,4.90,Russia
2004,48.50,0.36,4.58,China,7.89,Finland,5.14,Canada
2005,54.10,0.40,8.00,China,8.17,Finland,5.42,Zambia
2006,53.80,0.49,12.70,China,8.58,Finland,5.20,Canada
2007,53.30,0.53,13.20,China,9.17,Finland,5.62,Canada
2008,57.20,0.59,18.20,China,9.65,Finland,5.64,Canada
2009,59.80,0.62,23.10,China,8.96,Finland,4.92,Canada
