Year,Worldrefinedproduction,Concentrationratio,1stRefinedproduction,1stCountry,2ndRefinedproduction,2ndCountry,3rdRefinedproduction,3rdCountry
1990,0.037,0.78,0.015,Australia,0.008,Germany,0.006,Japan
1991,0.043,0.67,0.015,Australia,0.007,China,0.007,Germany
1992,0.041,0.71,0.013,Australia,0.010,Germany,0.006,Japan
1993,0.051,0.67,0.015,Australia,0.010,Russia,0.009,Germany
1994,0.053,0.75,0.018,Australia,0.012,Germany,0.010,Russia
1995,0.062,0.69,0.020,Australia,0.013,Russia,0.010,Germany
1996,0.054,0.78,0.025,Australia,0.009,Germany,0.008,Russia
1997,0.075,0.75,0.025,Germany,0.018,Kazakhstan,0.013,Russia
1998,0.093,0.80,0.030,Kazakhstan,0.029,Germany,0.015,Russia
1999,0.075,0.75,0.026,Germany,0.021,Kazakhstan,0.009,Russia
2000,0.093,0.73,0.035,Germany,0.019,Kazakhstan,0.014,Japan
2001,0.075,0.69,0.020,China,0.020,Germany,0.012,Kazakhstan
2002,0.067,0.67,0.020,China,0.015,Germany,0.010,Russia
2003,0.071,0.63,0.015,China,0.015,Germany,0.015,Kazakhstan
2004,0.063,0.83,0.023,China,0.019,Germany,0.010,Ukraine
2005,0.073,0.64,0.022,China,0.015,Germany,0.010,Ukraine
2006,0.079,0.65,0.026,China,0.015,Germany,0.010,Ukraine
2007,0.095,0.66,0.033,China,0.015,Germany,0.015,Kazakhstan
2008,0.111,0.76,0.040,China,0.025,Germany,0.019,Kazakhstan
2009,0.079,0.73,0.021,China,0.018,Germany,0.019,Kazakhstan
2010,0.182,0.79,0.093,China,0.032,Germany,0.019,Kazakhstan
