Year,Worldrefinedprimaryproduction,U.S.refinedprimaryproduction,Concentrationratio,1stRefinedprimaryproduction,1stCountry,2ndRefinedprimaryproduction,2ndCountry,3rdRefinedprimaryproduction,3rdCountry
1990,354.000,139.000,0.46,88.000,USSR,48.200,Norway,25.300,Canada
1991,342.000,131.000,0.47,80.000,USSR,44.322,Norway,35.500,Canada
1992,295.000,137.000,0.33,40.000,Russia,30.404,Norway,25.800,Canada
1993,269.000,132.000,0.30,30.000,Russia,27.300,Norway,23.000,Canada
1994,282.000,128.000,0.33,35.400,Russia,28.900,Canada,27.635,Norway
1995,395.000,142.000,0.45,93.600,China,48.100,Canada,37.500,Russia
1996,378.000,133.000,0.44,73.100,China,54.000,Canada,37.800,Norway
1997,384.000,125.000,0.45,75.990,China,57.700,Canada,39.500,Russia
1998,396.000,106.000,0.48,77.100,Canada,70.500,China,41.500,Russia
1999,341.000,W,0.70,120.000,China,73.700,Canada,45.000,Russia
2000,422.000,W,0.75,190.000,China,80.000,Canada,45.000,Russia
2001,420.000,W,0.77,200.000,China,83.000,Canada,40.000,Russia
2002,432.000,W,0.86,250.000,China,80.000,Canada,40.000,Russia
2003,509.000,W,0.91,340.000,China,78.000,Canada,43.000,Russia
2004,595.000,W,0.91,442.000,China,54.000,Canada,45.000,Russia
2005,622.000,W,0.91,470.000,China,50.000,Canada,45.000,Russia
2006,675.000,W,0.92,520.000,China,65.000,Canada,35.000,Russia
2007,751.000,W,0.92,625.000,China,37.000,Russia,29.600,Israel
2008,670.000,W,0.94,559.000,China,37.000,Russia,32.051,Israel
2009,598.000,W,0.93,501.000,China,37.000,Russia,21.000,Kazakhstan
2010,757.000,W,0.95,654.000,China,37.000,Russia,25.000,Israel
