Year,Worldoxideproduction,Concentrationratio,1stOxideproduction,1stCountry,2ndOxideproduction,2ndCountry,3rdOxideproduction,3rdCountry
1990,55.60,1.00,21.50,Japan,21.10,Cuba,13.00,USSR
1991,56.00,1.00,22.47,Japan,18.53,Cuba,15.00,USSR
1992,59.20,1.00,27.52,Japan,16.72,Cuba,15.00,Russia
1993,55.60,1.00,28.81,Japan,16.00,Cuba,10.80,Russia
1994,53.20,1.00,34.71,Japan,13.93,Cuba,4.60,Russia
1995,61.50,1.00,35.97,Japan,21.39,Cuba,4.10,Russia
1996,69.50,1.00,34.77,Japan,26.73,Cuba,8.00,Russia
1997,72.50,1.00,33.57,Cuba,26.90,Japan,12.00,Russia
1998,73.60,1.00,38.19,Cuba,25.44,Japan,10.00,Russia
1999,84.80,1.01,38.84,Cuba,34.48,Japan,12.00,Russia
2000,101.00,1.00,47.02,Japan,39.52,Cuba,14.00,Russia
2001,104.00,1.00,50.77,Japan,40.75,Cuba,12.00,Russia
2002,93.70,1.00,48.95,Japan,38.74,Cuba,6.00,Russia
2003,101.00,1.00,52.70,Japan,42.28,Cuba,6.37,Russia
2004,103.00,1.00,60.30,Japan,38.82,Cuba,3.81,Russia
2005,99.90,1.00,56.70,Japan,39.12,Cuba,4.08,Russia
2006,95.70,1.00,53.88,Japan,39.12,Cuba,2.71,Russia
2007,100.00,1.00,60.15,Japan,39.91,Cuba,0.24,Russia
2008,89.40,1.00,54.90,Japan,34.48,Cuba,--,NA
2009,91.70,1.00,57.19,Japan,34.50,Cuba,--,NA
