Country,First,Second,Third,Total
Argentina,,1,,1
Australia,3,5,1,9
Belarus,,,1,1
Belgium,,,1,1
Bolivia,,1,,1
Brazil,2,2,5,9
Canada,2,3,4,9
Chile,4,1,1,6
China,22,4,7,33
Finland,,,1,1
Germany,,1,,1
India,1,4,1,6
Indonesia,,1,1,2
Italy,,1,,1
Japan,2,1,1,4
Kazakhstan,,2,,2
Kyrgyzstan,,1,,1
Madagascar,,,1,1
Malaysia,,,1,1
Mexico,,3,,3
Mongolia,,,1,1
Morocco,,1,2,3
Mozambique,,1,,1
Nigeria,,,1,1
Norway,,1,,1
People'sRepublicoftheCongo,1,,,1
Peru,1,2,6,9
Russia,2,6,6,14
Rwanda,,,,0
SouthAfrica,5,2,1,8
SouthKorea,,1,,1
Spain,,1,,1
Turkey,2,,1,3
Zambia,,,1,1
