Year,Worldmineproduction,Concetrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry
1990,240.00,0.73,73.80,Turkey,66.30,Mexico,34.10,Iran
1991,199.00,0.81,70.00,Turkey,62.20,Mexico,28.50,Iran
1992,195.00,0.88,72.50,Spain,61.10,Mexico,37.94,Turkey
1993,201.00,0.84,71.90,Mexico,52.97,Spain,43.70,Turkey
1994,274.00,0.87,111.00,Mexico,102.05,Spain,25.00,Turkey
1995,311.00,0.88,138.00,Mexico,105.87,Spain,30.00,Turkey
1996,297.00,0.97,143.89,Mexico,114.83,Spain,30.00,Turkey
1997,264.00,0.97,134.71,Mexico,92.00,Spain,30.00,Turkey
1998,264.00,0.98,118.23,Mexico,111.00,Spain,30.00,Turkey
1999,358.00,0.99,164.68,Mexico,128.46,Spain,60.54,Turkey
2000,396.00,0.90,157.42,Mexico,148.35,Spain,50.00,China
2001,399.00,0.85,145.79,Mexico,129.79,Spain,63.64,Turkey
2002,444.00,0.82,171.29,Spain,100.00,China,94.02,Mexico
2003,492.00,0.84,152.38,Spain,130.33,Mexico,130.00,China
2004,525.00,0.82,192.94,Spain,150.00,China,87.61,Mexico
2005,509.00,0.94,188.00,Spain,180.00,China,110.83,Mexico
2006,524.00,0.94,188.00,Spain,180.00,China,125.00,Mexico
2007,518.00,0.97,190.00,China,188.00,Spain,125.00,Mexico
2008,656.00,0.96,336.00,Spain,200.00,China,96.90,Mexico
2009,400.00,0.96,210.00,China,138.00,Spain,37.60,Mexico
